Sir RJ Hadlee,5.0,8,0,37,0,5.55,Pakistan,Christchurch,Sun Feb 11 00:00:00 GMT 1973
DR Hadlee,8.0,8,0,34,4,3.18,Pakistan,Christchurch,Sun Feb 11 00:00:00 GMT 1973
HJ Howarth,8.0,8,0,30,2,2.81,Pakistan,Christchurch,Sun Feb 11 00:00:00 GMT 1973
BE Congdon,4.5,8,1,17,2,2.91,Pakistan,Christchurch,Sun Feb 11 00:00:00 GMT 1973
JA Snow,10.0,6,0,32,4,3.2,New Zealand,Swansea,Wed Jul 18 00:00:00 BST 1973
GG Arnold,11.0,6,2,28,3,2.54,New Zealand,Swansea,Wed Jul 18 00:00:00 BST 1973
AW Greig,9.833333333333334,6,2,26,1,2.64,New Zealand,Swansea,Wed Jul 18 00:00:00 BST 1973
DL Underwood,11.0,6,3,29,1,2.63,New Zealand,Swansea,Wed Jul 18 00:00:00 BST 1973
R Illingworth,11.0,6,1,34,1,3.09,New Zealand,Swansea,Wed Jul 18 00:00:00 BST 1973
RO Collinge,6.0,6,2,18,0,3.0,England,Swansea,Wed Jul 18 00:00:00 BST 1973
Sir RJ Hadlee,11.0,6,1,35,0,3.18,England,Swansea,Wed Jul 18 00:00:00 BST 1973
BR Taylor,8.5,6,1,37,1,4.35,England,Swansea,Wed Jul 18 00:00:00 BST 1973
HJ Howarth,11.0,6,3,34,1,3.09,England,Swansea,Wed Jul 18 00:00:00 BST 1973
BE Congdon,9.0,6,2,32,1,3.55,England,Swansea,Wed Jul 18 00:00:00 BST 1973
RO Collinge,11.0,6,0,52,1,4.72,England,Manchester,Fri Jul 20 00:00:00 BST 1973
BR Taylor,10.5,6,3,25,3,2.38,England,Manchester,Fri Jul 20 00:00:00 BST 1973
Sir RJ Hadlee,8.0,6,1,23,2,2.87,England,Manchester,Fri Jul 20 00:00:00 BST 1973
BE Congdon,8.0,6,1,24,2,3.0,England,Manchester,Fri Jul 20 00:00:00 BST 1973
HJ Howarth,11.0,6,1,33,0,3.0,England,Manchester,Fri Jul 20 00:00:00 BST 1973
RGD Willis,10.0,6,2,29,2,2.9,West Indies,Leeds,Wed Sep 05 00:00:00 BST 1973
M Hendrick,11.0,6,4,27,1,2.45,West Indies,Leeds,Wed Sep 05 00:00:00 BST 1973
CM Old,11.0,6,1,43,3,3.9,West Indies,Leeds,Wed Sep 05 00:00:00 BST 1973
DL Underwood,11.0,6,2,30,3,2.72,West Indies,Leeds,Wed Sep 05 00:00:00 BST 1973
AW Greig,11.0,6,0,40,0,3.63,West Indies,Leeds,Wed Sep 05 00:00:00 BST 1973
GS Sobers,10.5,6,3,31,1,2.95,England,Leeds,Wed Sep 05 00:00:00 BST 1973
VA Holder,11.0,6,1,34,2,3.09,England,Leeds,Wed Sep 05 00:00:00 BST 1973
KD Boyce,11.0,6,1,40,2,3.63,England,Leeds,Wed Sep 05 00:00:00 BST 1973
BD Julien,11.0,6,1,40,2,3.63,England,Leeds,Wed Sep 05 00:00:00 BST 1973
LR Gibbs,11.0,6,0,30,1,2.72,England,Leeds,Wed Sep 05 00:00:00 BST 1973
VA Holder,11.0,6,0,40,1,3.63,England,The Oval,Fri Sep 07 00:00:00 BST 1973
BD Julien,11.0,6,2,35,1,3.18,England,The Oval,Fri Sep 07 00:00:00 BST 1973
CH Lloyd,11.0,6,2,25,2,2.27,England,The Oval,Fri Sep 07 00:00:00 BST 1973
LR Gibbs,11.0,6,4,12,1,1.09,England,The Oval,Fri Sep 07 00:00:00 BST 1973
KD Boyce,6.0,6,0,47,0,7.83,England,The Oval,Fri Sep 07 00:00:00 BST 1973
MLC Foster,5.0,6,0,22,2,4.4,England,The Oval,Fri Sep 07 00:00:00 BST 1973
RGD Willis,10.333333333333334,6,0,55,0,5.32,West Indies,The Oval,Fri Sep 07 00:00:00 BST 1973
GG Arnold,9.0,6,1,24,2,2.66,West Indies,The Oval,Fri Sep 07 00:00:00 BST 1973
CM Old,10.0,6,0,52,0,5.2,West Indies,The Oval,Fri Sep 07 00:00:00 BST 1973
